companyName,companySize,tagline,title,details,sizeCategory,located,Manager,Technical,Technical Manager,Only Technical,Only Manager,Neither,Company size
"Nav Technologies, Inc",51-200 EMPLOYEES,Help Us Do Amazing Things for Small Business in America!,Senior Product Designer UX/UI - Remote within the US or In Office,Salt Lake City • Draper • Remote • Remote possible • $110k – $125k,Large,True,0,0,0,False,False,True,125
"Nav Technologies, Inc",51-200 EMPLOYEES,Help Us Do Amazing Things for Small Business in America!,"UX Designer - Remote within the US or In Office (PA, CA, UT)",San Francisco • Santa Monica • San Francisco Bay Area • Remote possible • $90k – $110k,Large,True,0,0,0,False,False,True,125
LearnToWin,11-50 EMPLOYEES,Learning and Analytics Platform for Elite Performance,"Senior Site Reliability Engineer (DevOps Engineer, Production Engineer)",San Francisco • Remote possible • $145k – $165k • 0.1% – 0.6%,Medium,True,0,1,0,True,False,False,35
XCLAIM,11-50 EMPLOYEES,To be the world's leading exchange for the global debt markets,Product Manager,Los Angeles • Remote possible • $120k – $150k • 0.0% – 0.2%,Medium,True,1,0,0,False,True,False,35
The Black Tux,201-500 EMPLOYEES,"Tuxedos and suits, for rent and for keeps",Head of Consumer Insights,Remote possible,X-Large,False,1,0,0,False,True,False,350
Skydog Ops,1-10 EMPLOYEES,On-Demand Salesforce + Revenue Ops Consulting,Salesforce + RevOps Consultant | Work with High-Growth Startups,Remote possible • $68k – $100k,Small,False,0,0,0,False,False,True,5
Plate IQ,51-200 EMPLOYEES,AP Automation & Expense Management For Fast Growing Businesses,Back End Engineer (Fintech and Payments),Canada • Mexico • United States • Remote possible • $120k – $180k • 0.01% – 0.02%,Large,True,0,1,0,True,False,False,125
Plate IQ,51-200 EMPLOYEES,AP Automation & Expense Management For Fast Growing Businesses,Customer Success Associate/Manager,San Francisco • Remote possible • $60k – $80k,Large,True,1,0,0,False,True,False,125
Plate IQ,51-200 EMPLOYEES,AP Automation & Expense Management For Fast Growing Businesses,Sales Development Representative,New York City • Remote possible • $40k – $56k,Large,True,0,0,0,False,False,True,125
The.com,11-50 EMPLOYEES,Make and share websites,Content Designer,New York City • San Francisco • Remote possible • $45k – $90k • No equity,Medium,True,0,0,0,False,False,True,35
The.com,11-50 EMPLOYEES,Make and share websites,Software Engineer,Boulder • Los Angeles • San Francisco Bay Area • Remote possible • $150k – $220k • 0.1% – 1.0%,Medium,True,0,1,0,True,False,False,35
Zeplin,51-200 EMPLOYEES,"The better way to share, organize and collaborate on designs—built with developers in mind",Sr. Product Manager,New York City • United States • Remote possible • $150k – $200k,Large,True,1,0,0,False,True,False,125
Zeplin,51-200 EMPLOYEES,"The better way to share, organize and collaborate on designs—built with developers in mind",Product Designer,California • United States • San Francisco • Remote possible • $120k – $175k,Large,True,0,0,0,False,False,True,125
Zeplin,51-200 EMPLOYEES,"The better way to share, organize and collaborate on designs—built with developers in mind","Software Engineer, Design Integrations",California • United States • San Francisco • Remote possible • $140k – $200k,Large,True,0,1,0,True,False,False,125
Guide,1-10 EMPLOYEES,A new way to win candidates over your competitors,Senior Software Engineer,San Francisco • Remote possible • $150k – $225k • 0.1% – 0.25%,Small,True,0,1,0,True,False,False,5
StackSource,11-50 EMPLOYEES,"Commercial real estate financing, online",Full Stack Software Engineer,New York City • Remote • Remote possible • $115k – $135k • 0.1% – 0.25%,Medium,True,0,1,0,True,False,False,35
StackSource,11-50 EMPLOYEES,"Commercial real estate financing, online",Sr Software Engineer,New York City • Orlando • Remote possible • $125k – $145k • 0.05% – 0.15%,Medium,True,0,1,0,True,False,False,35
StackSource,11-50 EMPLOYEES,"Commercial real estate financing, online",Senior Analyst,Los Angeles County • $75k – $100k • 0.05% – 0.15%,Medium,True,0,0,0,False,False,True,35
Orbit,11-50 EMPLOYEES,Mission Control for your Comunity · we're hiring!,Account Executive,New York City • San Francisco • Remote • Remote possible • $150k – $200k • 0.01% – 0.25%,Medium,True,0,0,0,False,False,True,35
OpenEnvoy,11-50 EMPLOYEES,Automated Accounts Payable,Director of Operations,Oakland • Remote possible • $120k – $150k,Medium,True,1,1,1,False,False,False,35
OpenEnvoy,11-50 EMPLOYEES,Automated Accounts Payable,Head of Product Marketing,Oakland • Remote possible • $130k – $165k,Medium,True,1,0,0,False,True,False,35
OpenEnvoy,11-50 EMPLOYEES,Automated Accounts Payable,Sales Development Representative,Oakland • Remote possible • $50k – $50k,Medium,True,0,0,0,False,False,True,35
Iron Plans (YC S20),1-10 EMPLOYEES,"Subscriptions, usage-based billing, & teams for SaaS apps",Sales Development Representative (Contract),San Francisco Bay Area • Remote possible • $50k – $80k • No equity,Small,True,0,0,0,False,False,True,5
Iron Plans (YC S20),1-10 EMPLOYEES,"Subscriptions, usage-based billing, & teams for SaaS apps",Demand Gen Lead,San Francisco Bay Area • Remote possible • $80k – $140k • 0.25% – 1.5%,Small,True,1,0,0,False,True,False,5
Iron Plans (YC S20),1-10 EMPLOYEES,"Subscriptions, usage-based billing, & teams for SaaS apps",Founding Full Stack Engineer,San Francisco Bay Area • Remote possible • $105k – $150k • 0.5% – 2.0%,Small,True,0,1,0,True,False,False,5
Ampla,11-50 EMPLOYEES,Fintech Solutions for Emerging Consumer Brands,Lead Engineer for Fintech Startup,New York City • Remote possible • $150k – $200k,Medium,True,1,1,1,False,False,False,35
Ampla,11-50 EMPLOYEES,Fintech Solutions for Emerging Consumer Brands,"Product Manager, Finance",New York City • $110k – $150k AngelList Est.,Medium,True,1,0,0,False,True,False,35
Ampla,11-50 EMPLOYEES,Fintech Solutions for Emerging Consumer Brands,Associate Product Manager,New York City • $70k – $105k AngelList Est.,Medium,True,1,0,0,False,True,False,35
CREAM and Partners,11-50 EMPLOYEES,New Age Incubator and Investment Firm of Blockchain and Cryptocurrency Projects,Investment Analyst/Associate,Remote possible,Medium,False,0,0,0,False,False,True,35
Altonomy,51-200 EMPLOYEES,Financial services for the Cryptocurrency industry,Blockchain Developer,Remote possible • $80k – $120k • No equity,Large,False,0,1,0,True,False,False,125
Range,11-50 EMPLOYEES,"Range keeps your team connected, focused, and productive no matter where they’re working",Product Marketing Lead,San Francisco • Remote • Remote possible • $110k – $150k • 0.1% – 0.5%,Medium,True,1,0,0,False,True,False,35
Range,11-50 EMPLOYEES,"Range keeps your team connected, focused, and productive no matter where they’re working",Backend Engineer,United States • Remote possible • $130k – $160k • 0.35% – 0.75%,Medium,True,0,1,0,True,False,False,35
The Third Place,1-10 EMPLOYEES,Opinionated software for opinionated local businesses,Senior Software Engineer,San Francisco • Remote possible • $150k – $200k • 0.2% – 0.5%,Small,True,0,1,0,True,False,False,5
Fuzzbuzz,1-10 EMPLOYEES,Fuzzing as a Service,Backend Software Engineer,Redwood City • San Francisco Bay Area • Remote possible • $145k – $175k • 0.1% – 0.35%,Small,True,0,1,0,True,False,False,5
Fuzzbuzz,1-10 EMPLOYEES,Fuzzing as a Service,Developer Advocate,Redwood City • San Francisco Bay Area • Remote possible • $145k – $200k • 0.1% – 1.0%,Small,True,0,1,0,True,False,False,5
Fuzzbuzz,1-10 EMPLOYEES,Fuzzing as a Service,Full Stack Software Engineer,San Francisco Bay Area • Remote possible • $145k – $175k • 0.1% – 0.35%,Small,True,0,1,0,True,False,False,5
SecurityPal,51-200 EMPLOYEES,Security-Questionnaires-as-a-Service,Sales Development Representative,San Francisco • Remote possible • $50k – $60k,Large,True,0,0,0,False,False,True,125
SecurityPal,51-200 EMPLOYEES,Security-Questionnaires-as-a-Service,Account Executive,New York City • San Francisco • Remote possible • $150k – $230k,Large,True,0,0,0,False,False,True,125
Exabyte.io,1-10 EMPLOYEES,The world's materials R&D colab,🧑‍🤝‍🧑 Scientific Community Evangelist 🧑‍🤝‍🧑,Silicon Valley • San Francisco • San Francisco Bay Area • Remote possible • $90k – $140k • 0.1% – 0.5%,Small,True,0,0,0,False,False,True,5
Exabyte.io,1-10 EMPLOYEES,The world's materials R&D colab,💎 Head of Design 💎,San Francisco • Oakland • San Francisco Bay Area • $100k – $180k • 0.1% – 0.5%,Small,True,1,0,0,False,True,False,5
Exabyte.io,1-10 EMPLOYEES,The world's materials R&D colab,🎈Head of Marketing🎈,Silicon Valley • San Francisco • San Francisco Bay Area • $120k – $160k • 0.5% – 1.5%,Small,True,1,0,0,False,True,False,5
Blue Orange Digital,51-200 EMPLOYEES,Blue Orange is a data science and machine learning consulting and development firm,Director of Talent,Alexandria • $130k – $150k • No equity,Large,True,1,1,1,False,False,False,125
Blue Orange Digital,51-200 EMPLOYEES,Blue Orange is a data science and machine learning consulting and development firm,Director of Operations,New York City • New York • Manhattan • $120k – $130k,Large,True,1,1,1,False,False,False,125
Blue Orange Digital,51-200 EMPLOYEES,Blue Orange is a data science and machine learning consulting and development firm,Data Engineer (Remote),Brazil • Mexico • Colombia • Remote possible • $42k – $84k • No equity,Large,True,0,1,0,True,False,False,125
Bitwise Asset Management,51-200 EMPLOYEES,Making it easier for anyone to invest in cryptocurrency,Full Stack Software Engineer,United States • Remote possible • $100k – $180k,Large,True,0,1,0,True,False,False,125
Sila,51-200 EMPLOYEES,Making money programmable,Sr. Blockchain Engineer,Portland • United States • Remote • Remote possible • $135k – $160k,Large,True,0,1,0,True,False,False,125
Sila,51-200 EMPLOYEES,Making money programmable,API Sales - Account Executive,Portland • Remote possible • $60k – $120k,Large,True,0,0,0,False,False,True,125
Sila,51-200 EMPLOYEES,Making money programmable,"Backend Engineer (Python, AWS, incorporates commercial blockchain)",Portland • Remote possible • $75k – $110k,Large,True,0,1,0,True,False,False,125
Apptopia,51-200 EMPLOYEES,Quantcast for Apps. Accurate market intelligence on the global app ecosystem,Senior UI Designer,United States • Remote possible • $100k – $120k • 0.01% – 0.05%,Large,True,0,0,0,False,False,True,125
Apptopia,51-200 EMPLOYEES,Quantcast for Apps. Accurate market intelligence on the global app ecosystem,Talent Development Manager,Boston • New York City • Philadelphia • Remote possible • $100k – $120k • 0.1% – 0.5%,Large,True,1,0,0,False,True,False,125
Apptopia,51-200 EMPLOYEES,Quantcast for Apps. Accurate market intelligence on the global app ecosystem,Senior Account Executive,Boston • New York City • Philadelphia • Remote possible • $125k – $200k • 0.1% – 0.5%,Large,True,0,0,0,False,False,True,125
Creative Juice,1-10 EMPLOYEES,Banking for the creator economy,Backend Engineer,New York City • Washington DC • San Francisco • Remote possible • $115k – $140k,Small,True,0,1,0,True,False,False,5
Creative Juice,1-10 EMPLOYEES,Banking for the creator economy,Full Stack Engineer,New York City • Washington DC • San Francisco • Remote possible • $115k – $140k,Small,True,0,1,0,True,False,False,5
InDebted,51-200 EMPLOYEES,"To be the preferred choice of customers to support their debt free journey, everywhere",Customer Engagement Specialist 2nd Shift 1pm to 10pm,,Large,False,0,0,0,False,False,True,125
InDebted,51-200 EMPLOYEES,"To be the preferred choice of customers to support their debt free journey, everywhere",Customer Engagement Specialist 1st Shift 7am to 4pm,,Large,False,0,0,0,False,False,True,125
FairStreet,1-10 EMPLOYEES,Improving healthcare for older adults,Full Stack Software Engineer,San Francisco • Remote • Remote possible • $110k – $160k • 0.35% – 1.0%,Small,True,0,1,0,True,False,False,5
GoSite,51-200 EMPLOYEES,The easiest way to connect your business with more customers,Technical Recruiting Lead (remote),San Francisco • Remote possible • $115k – $150k,Large,True,1,0,0,False,True,False,125
GoSite,51-200 EMPLOYEES,The easiest way to connect your business with more customers,Senior Mobile Engineer,San Francisco • $125k – $180k AngelList Est.,Large,True,0,1,0,True,False,False,125
GoSite,51-200 EMPLOYEES,The easiest way to connect your business with more customers,Senior DevOps Engineer,San Francisco • $110k – $155k AngelList Est.,Large,True,0,1,0,True,False,False,125
Dashbot,11-50 EMPLOYEES,Conversational Data Cloud,Account Executive,San Francisco • Remote possible • $80k – $100k • 0.05% – 0.1%,Medium,True,0,0,0,False,False,True,35
Dashbot,11-50 EMPLOYEES,Conversational Data Cloud,Sales Development Representative,San Francisco • Remote possible • $60k – $80k • 0.04% – 0.05%,Medium,True,0,0,0,False,False,True,35
Dashbot,11-50 EMPLOYEES,Conversational Data Cloud,Product Designer,San Francisco • Remote possible • $90k – $120k • 0.1% – 0.2%,Medium,True,0,0,0,False,False,True,35
Lightyear,11-50 EMPLOYEES,Enterprise telecom simplified,Head of Product Design,Austin • New York City • San Francisco • Remote possible • $120k – $200k,Medium,True,1,0,0,False,True,False,35
Lightyear,11-50 EMPLOYEES,Enterprise telecom simplified,Head of Recruiting,Austin • New York City • San Francisco • Remote possible • $100k – $150k,Medium,True,1,0,0,False,True,False,35
Lightyear,11-50 EMPLOYEES,Enterprise telecom simplified,Full Stack Software Engineer,Austin • New York City • San Francisco • Remote possible • $120k – $200k,Medium,True,0,1,0,True,False,False,35
Runway,1-10 EMPLOYEES,Air traffic control for mobile releases,Marketing & Growth Lead,New York City • Remote possible • $90k – $160k • 0.0% – 1.0%,Small,True,1,0,0,False,True,False,5
Runway,1-10 EMPLOYEES,Air traffic control for mobile releases,Software Engineer,New York City • Remote possible • $110k – $180k • 0.0% – 1.5%,Small,True,0,1,0,True,False,False,5
WhyHotel,51-200 EMPLOYEES,More than just a space to spend the night-a place to call home for as long as you're here!,"Senior Analyst, Acquisitions & Development (Remote)",Miami • New York City • Washington DC • Nashville • Tysons • Remote possible • $90k – $100k,Large,True,0,0,0,False,False,True,125
WhyHotel,51-200 EMPLOYEES,More than just a space to spend the night-a place to call home for as long as you're here!,"VP, Real Estate Platform Partnerships (Remote)",Miami • New York City • Washington DC • Nashville • Tysons • Remote possible • $235k – $285k AngelList Est.,Large,True,0,0,0,False,False,True,125
WhyHotel,51-200 EMPLOYEES,More than just a space to spend the night-a place to call home for as long as you're here!,Revenue and Distribution Associate (Senior Analyst) (Remote),Washington DC • Remote possible • $75k – $75k,Large,True,0,0,0,False,False,True,125
QuillBot,51-200 EMPLOYEES,Making Writing Painless,Head of Content Marketing,Chicago • Remote possible • $120k – $160k • No equity,Large,True,1,0,0,False,True,False,125
QuillBot,51-200 EMPLOYEES,Making Writing Painless,UX Researcher,Chicago • $60k – $100k • No equity,Large,True,0,0,0,False,False,True,125
QuillBot,51-200 EMPLOYEES,Making Writing Painless,Senior Full Stack Engineer,Jaipur • Remote possible • ₹15L – ₹40L • No equity,Large,True,0,1,0,True,False,False,125
Diffgram,1-10 EMPLOYEES,Accelerate the 4th Industrial Revolution,Marketing Generalist,Canada • India • Remote • Remote possible • $23k – $45k • 0.0% – 1.0%,Small,True,0,0,0,False,False,True,5
Diffgram,1-10 EMPLOYEES,Accelerate the 4th Industrial Revolution,Chief Marketing Officer,Santa Clara • Remote possible • $80k – $150k • 3.0% – 5.0%,Small,True,1,0,0,False,True,False,5
Diffgram,1-10 EMPLOYEES,Accelerate the 4th Industrial Revolution,Full Stack Engineer,Canada • India • United States • Remote possible • $38k – $73k • 3.0% – 5.0%,Small,True,0,1,0,True,False,False,5
Filmhub,11-50 EMPLOYEES,Online B2B marketplace for filmmakers and streaming platforms,"Account Executive, Streaming Channels",San Francisco • Santa Monica • Remote possible • $120k – $200k • 0.0% – 0.15%,Medium,True,0,0,0,False,False,True,35
Filmhub,11-50 EMPLOYEES,Online B2B marketplace for filmmakers and streaming platforms,Designer (UI/UX/Product),San Francisco • Santa Monica • Remote possible • $60k – $140k • 0.0% – 0.25%,Medium,True,0,0,0,False,False,True,35
Filmhub,11-50 EMPLOYEES,Online B2B marketplace for filmmakers and streaming platforms,Full Stack Software Engineer,Santa Monica • Remote possible • $40k – $120k • 0.0% – 0.25%,Medium,True,0,1,0,True,False,False,35
Camino,11-50 EMPLOYEES,A modern SaaS platform for Government,Senior Software Engineer,Denver • North America • Nashville • Remote possible • $130k – $160k • 0.25% – 0.8%,Medium,True,0,1,0,True,False,False,35
Camino,11-50 EMPLOYEES,A modern SaaS platform for Government,Vice President of Sales,San Mateo • Remote • Remote possible • $270k – $350k • 1.0% – 3.0%,Medium,True,1,0,0,False,True,False,35
Recurate | Resale Made Easy,11-50 EMPLOYEES,Recurate enables a beautifully integrated resale marketplace directly on ecommerce stores,Brand Success Manager,Remote possible • $60k – $85k,Medium,False,1,0,0,False,True,False,35
batelle.com,11-50 EMPLOYEES,"Teach parents how to put their children to bed in under 5 minutes, within a week",Senior Sales Consultant,Remote possible • $45k – $65k,Medium,False,0,0,0,False,False,True,35
Prismatic,11-50 EMPLOYEES,The integration platform for B2B software companies,Senior Frontend Engineer (U.S.),Sioux Falls • Remote possible • $130k – $140k,Medium,True,0,1,0,True,False,False,35
Prismatic,11-50 EMPLOYEES,The integration platform for B2B software companies,Senior Cloud Engineer (U.S.),Sioux Falls • Remote possible • $130k – $140k,Medium,True,0,1,0,True,False,False,35
fittly,1-10 EMPLOYEES,LinkedIn for fitness,CTO,New York City • Amsterdam • Remote possible • $120k – $150k • 5.0% – 10.0%,Small,True,1,1,1,False,False,False,5
fittly,1-10 EMPLOYEES,LinkedIn for fitness,Sales Development Intern,New York City • Remote possible • No equity,Small,True,0,0,0,False,False,True,5
fittly,1-10 EMPLOYEES,LinkedIn for fitness,PR and Marketing Intern,New York City • Remote possible,Small,True,0,0,0,False,False,True,5
Biome Analytics,51-200 EMPLOYEES,Performance Application Bringing Best Practice To Every Patient,Data Operations Engineer,Chicago • New York City • San Francisco • Remote possible • $110k – $125k • 0.15% – 0.3%,Large,True,0,1,0,True,False,False,125
Novo,51-200 EMPLOYEES,Powerfully simple business banking,Underwriter & Data Scientist,Miami • New York City • $115k – $135k AngelList Est.,Large,True,0,1,0,True,False,False,125
Novo,51-200 EMPLOYEES,Powerfully simple business banking,Talent Sourcer,New York City • $65k – $95k AngelList Est.,Large,True,0,0,0,False,False,True,125
Novo,51-200 EMPLOYEES,Powerfully simple business banking,Project Manager,Miami • New York City • $80k – $105k AngelList Est.,Large,True,1,0,0,False,True,False,125
Ambience Healthcare,11-50 EMPLOYEES,Building a suite of AI-powered tools for doctors,Senior ML Engineer,San Francisco • Remote possible • $100k – $150k,Medium,True,0,1,0,True,False,False,35
Ambience Healthcare,11-50 EMPLOYEES,Building a suite of AI-powered tools for doctors,Senior Fullstack Engineer,San Francisco Bay Area • $100k – $150k,Medium,True,0,1,0,True,False,False,35
Cohesion,11-50 EMPLOYEES,Cohesion’s IoT-enabled platform integrates building systems and streamlines operations,Data Engineer,Chicago • $100k – $115k,Medium,True,0,1,0,True,False,False,35
Cohesion,11-50 EMPLOYEES,Cohesion’s IoT-enabled platform integrates building systems and streamlines operations,Backend Engineer (.NET),Chicago • Remote possible • $95k – $130k,Medium,True,0,1,0,True,False,False,35
Cohesion,11-50 EMPLOYEES,Cohesion’s IoT-enabled platform integrates building systems and streamlines operations,Senior iOS Developer,Chicago • Remote possible • $100k – $120k,Medium,True,0,1,0,True,False,False,35
BentoBox,51-200 EMPLOYEES,"BentoBox empowers restaurants to own their presence, profits and relationships","Senior Marketing Manager, Web",New York • Remote possible • $100k – $140k AngelList Est.,Large,True,1,0,0,False,True,False,125
BentoBox,51-200 EMPLOYEES,"BentoBox empowers restaurants to own their presence, profits and relationships",Senior Product Designer,New York • $110k – $130k,Large,True,0,0,0,False,False,True,125
BentoBox,51-200 EMPLOYEES,"BentoBox empowers restaurants to own their presence, profits and relationships",Sales Operations Manager,New York City • Remote possible • $90k – $115k AngelList Est.,Large,True,1,0,0,False,True,False,125
Syrup Tech,1-10 EMPLOYEES,"AI/ML for next-generation inventory excellence in apparel, fashion and e-commerce",Senior Data Scientist,Boston • New York City • San Francisco • Remote possible • $95k – $150k • 0.1% – 0.25%,Small,True,0,1,0,True,False,False,5
PDM Automotive,11-50 EMPLOYEES,Connecting the automotive aftermarket industry with data and technology,Account Executive,Seattle • Remote possible • $110k – $160k,Medium,True,0,0,0,False,False,True,35
PDM Automotive,11-50 EMPLOYEES,Connecting the automotive aftermarket industry with data and technology,Executive Assistant,Seattle • Remote possible • $60k – $80k,Medium,True,0,0,0,False,False,True,35
PDM Automotive,11-50 EMPLOYEES,Connecting the automotive aftermarket industry with data and technology,Customer Success Manager,Seattle • Remote possible • $60k – $75k,Medium,True,1,0,0,False,True,False,35
Panther,11-50 EMPLOYEES,"The easiest way to hire, manage, and pay global teams",Director of Engineering,Tampa • Skopje • Remote • Remote possible • $120k – $200k,Medium,True,1,1,1,False,False,False,35
Panther,11-50 EMPLOYEES,"The easiest way to hire, manage, and pay global teams",Director of Product,Tampa • Skopje • Remote • Remote possible • $120k – $175k,Medium,True,1,1,1,False,False,False,35
Panther,11-50 EMPLOYEES,"The easiest way to hire, manage, and pay global teams",Mid/Senior Front-End Engineer (React.js),Tampa • Skopje • Remote • Remote possible • $40k – $80k • 0.01% – 0.25%,Medium,True,0,1,0,True,False,False,35
The Black Tux,201-500 EMPLOYEES,"Tuxedos and suits, for rent and for keeps",Head of Consumer Insights,Remote possible,X-Large,False,1,0,0,False,True,False,350
Skydog Ops,1-10 EMPLOYEES,On-Demand Salesforce + Revenue Ops Consulting,Salesforce + RevOps Consultant | Work with High-Growth Startups,Remote possible • $68k – $100k,Small,False,0,0,0,False,False,True,5
Chartmetric,11-50 EMPLOYEES,"A profitable, 6-year-old B2B SaaS startup, with focus on music and data!",Senior Frontend Engineer at a Music Data Startup,Sunnyvale • Remote possible • $100k – $140k • 0.2% – 0.5%,Medium,True,0,1,0,True,False,False,35
Chartmetric,11-50 EMPLOYEES,"A profitable, 6-year-old B2B SaaS startup, with focus on music and data!","Senior UI Designer at Chartmetric, a Music Data Analytics Startup",San Francisco Bay Area • $80k – $150k • 0.1% – 0.5%,Medium,True,0,0,0,False,False,True,35
Chartmetric,11-50 EMPLOYEES,"A profitable, 6-year-old B2B SaaS startup, with focus on music and data!","Lead Full-stack Engineer at Chartmetric, a Music Data Analytics Startup",San Francisco Bay Area • $150k – $180k • 0.5% – 1.5%,Medium,True,1,1,1,False,False,False,35
Sendlane,51-200 EMPLOYEES,Email & SMS Marketing for eCommerce!,Director of Product Marketing,San Diego • Remote possible • $100k – $180k,Large,True,1,1,1,False,False,False,125
Sendlane,51-200 EMPLOYEES,Email & SMS Marketing for eCommerce!,Senior Software Engineer,San Diego • Remote possible • $120k – $140k,Large,True,0,1,0,True,False,False,125
Sendlane,51-200 EMPLOYEES,Email & SMS Marketing for eCommerce!,Product Manager (Email & Popups),San Diego • Remote possible • $120k – $165k,Large,True,1,0,0,False,True,False,125
Folia Health,1-10 EMPLOYEES,Enabling precision medicine with the power of individual observations,"Senior Software Engineer, Backend",Cambridge • Remote possible • $100k – $135k,Small,True,0,1,0,True,False,False,5
InvestNext,11-50 EMPLOYEES,Empowering investors to make a meaningful impact within their communities,Full Stack Software Engineer,San Diego • Remote possible • $75k – $115k • 0.01% – 0.1%,Medium,True,0,1,0,True,False,False,35
InvestNext,11-50 EMPLOYEES,Empowering investors to make a meaningful impact within their communities,Deployment Lead,Detroit • Remote possible • $45k – $65k • 0.01% – 0.1%,Medium,True,1,0,0,False,True,False,35
InvestNext,11-50 EMPLOYEES,Empowering investors to make a meaningful impact within their communities,Director of Engineering,San Diego • Remote possible • $170k – $220k • 0.05% – 1.0%,Medium,True,1,1,1,False,False,False,35
